0x100113d8: ret;
0x1008b143: rep ret;
0x1008e123: add [eax], al; add [edi+0x5E], bl; xor eax, eax; pop ebp; add esp, 0x08; ret;
0x1006a306: add [eax-0x6F6F6F70], dl; nop; nop; nop; nop; lea eax, [ecx+0x00000118]; ret;
0x1012918f: pop edi; pop esi; pop ebp; mov ecx, [eax]; mov [ecx+0x2C], ebx; pop ebx; ret;
0x10132aeb: pop edi; pop esi; pop ebp; mov edx, [ecx]; mov [edx+0x18], ebx; pop ebx; ret;
0x10045a96: add [eax-0x6F6F6F70], dl; nop; nop; nop; nop; mov eax, [ecx+0x00000340]; ret;
0x10123af5: add [ecx+0x568B0841], cl; or al, 0x89; inc edx; or [ebx+0x3B102444], cl; ret;
0x1011e7dc: add [eax], al; add [esi-0x18], dl; push edi; mov [ebx], eax; add dh, dh; ret;
0x10018150: mov word [ebx], es; add [eax], al; pop es; add [eax], al; add [ebx], bh; ret;
0x1013a2bb: add [ebx-0x3B7CF78A], cl; or al, 0x85; div [ebp-0x17]; pop edi; pop esi; ret;
0x100245a6: add [eax-0x6F6F6F70], dl; nop; nop; nop; nop; lea eax, [ecx+0x000016E4]; ret;
0x1004a514: xchg [esi], edx; adc [ecx+0x1BE8045F], cl; rcl [eax], cl; add [ebx], bh; ret;
0x10045896: add [eax-0x6F6F6F70], dl; nop; nop; nop; nop; mov eax, [ecx+0x00001038]; ret;
0x10010b08: ror [edi], 0x84; xchg eax, edi; add [eax], al; add [ebx+0x3B442444], cl; ret;
0x100cb51d: xchg eax, esp; rcr [ebx-0x75], 0xFFFFFFC1; pop esi; add esp, 0x00000104; ret;
0x10151eeb: adc bh, al; inc esi; sub al, 0x20; pop ds; adc eax, 0x5FC68B10; pop esi; ret;
0x10028666: add [eax-0x6F6F6F70], dl; nop; nop; nop; nop; mov eax, [ecx+0x000019AC]; ret;
0x10132add: pop edi; pop esi; pop ebp; mov eax, [edx]; mov [eax+0x18], ebx; pop ebx; ret;
0x1012d3c4: mov ecx, [esp+0x08]; add esp, 0x04; mov edx, [ecx+0x28]; mov [edx], eax; ret;
0x100106af: out dx, eax; mov [edx+edi], 0x00; pop edi; mov eax, 0x00000001; pop esi; ret;
0x1014e3ea: ror [ebp+0x00], cl; add [ebx-0x3FCCEB3C], al; pop edi; pop esi; pop ebx; ret;
0x10126c5c: adc [esi], 0x10C48310; pop edi; pop esi; pop ebx; mov esp, ebp; pop ebp; ret;
0x10043e6d: add [eax], al; add [ebx+0x64], bl; mov [0x00000000], ecx; add esp, 0x30; ret;
0x101302ae: add [eax], al; mov eax, esi; mov [esi+0x00000090], dl; pop edi; pop esi; ret;
0x100292c6: add [eax-0x6F6F6F70], dl; nop; nop; nop; nop; lea eax, [ecx+0x00003558]; ret;
0x1011c4aa: inc esi; sub al, 0x00; add [eax], al; add [eax+0x00000001], bh; pop esi; ret;
0x1012babe: aam 0x1F; adc [ecx-0x18], dl; mov ecx, 0x83000064; les esp, [esi+ebx*2]; ret;
0x1014dc43: add al, 0x85; sal [ebp+0x01], 0xC3; mov eax, [eax+0x1C]; mov eax, [eax]; ret;
0x1012976f: add eax, [eax]; add [eax], al; mov [eax+0x0C], ecx; mov [eax+0x10], edx; ret;
0x10157c62: div [ebp+0x0A]; pop edi; pop esi; pop ebp; mov eax, 0xFFFFFFFC; pop ebx; ret;
0x100998e7: add [eax], al; add [ebx-0x6F3CEF3C], al; nop; mov eax, [ecx+0x00000964]; ret;
0x101294eb: pop edi; pop esi; pop ebp; mov edx, [ecx]; mov [edx+0x38], ebx; pop ebx; ret;
0x1001295a: add [eax], al; add [ebx+0x64], bl; mov [0x00000000], ecx; add esp, 0x70; ret;
0x1008b909: pop ebp; xor eax, eax; pop ebx; mov [fs:0x00000000], ecx; add esp, 0x18; ret;
0x10095c92: or [eax], al; add [eax], al; add [eax+0x00000001], bh; pop esi; pop ecx; ret;
0x1014c997: mov eax, [esp+0x04]; xor ecx, ecx; mov cl, ah; mov ch, al; mov eax, ecx; ret;
0x1014c408: pop edi; pop esi; mov [eax], ecx; pop ebp; mov eax, 0x00000015; pop ebx; ret;
0x1011c45e: inc esi; sub al, 0x0A; add [eax], al; add [eax+0x00000001], bh; pop esi; ret;
0x1012919d: pop edi; pop esi; pop ebp; mov eax, [edx]; mov [eax+0x2C], ebx; pop ebx; ret;
0x10012297: add [ebx], dh; rol bl, 0xBA; add [edx], dh; add [eax], al; xor eax, eax; ret;
0x100e0f0f: inc esi; add al, 0x00; add [eax], al; add [eax+0x00000001], bh; pop esi; ret;
0x1009cd30: or [ebp+0x5F0B75C0], al; pop esi; pop ebp; pop ebx; add esp, 0x00002004; ret;
0x100b9f79: add [eax], al; add [ebx+0x64], bl; mov [0x00000000], ecx; add esp, 0x34; ret;
0x100768d6: add [eax-0x6F6F6F70], dl; nop; nop; nop; nop; mov eax, [ecx+0x0000125C]; ret;
0x10097e0f: add [eax], al; mov [esi+0x2C], 0x00000064; mov [esi+0x28], eax; pop esi; ret;
0x100979c7: add [eax], al; add [ebx-0x6F3CEF3C], al; nop; mov eax, [ecx+0x00001318]; ret;
0x1014c42c: pop edi; pop esi; mov [eax], ecx; pop ebp; mov eax, 0x00000006; pop ebx; ret;
0x10153ce3: inc [ebx-0x3A74DB3C]; pop edi; pop ebp; pop ebx; pop esi; add esp, 0x08; ret;
0x1012b1e0: pop ds; adc [edx-0x01], dl; adc eax, 0x10168174; add esp, 0x0C; pop esi; ret;
0x1012fc6a: add [edi+0x5E], bl; pop ebp; xor eax, eax; pop ebx; add esp, 0x00000084; ret;
0x10119bc5: add [eax], al; mov [ebx], al; add [eax], al; mov [eax+0x04], 0x00000001; ret;
0x10151e69: rcl [ecx-0x18], 1; adc [ecx], dh; add [eax], al; add esp, 0x04; pop esi; ret;
0x10081a89: div [ebp-0x3C]; pop ebp; pop ebx; pop edi; mov eax, 0x00000001; pop esi; ret;
0x10072d76: add [eax-0x6F6F6F70], dl; nop; nop; nop; nop; mov eax, [ecx+0x000014F0]; ret;
0x1012b06e: adc bl, dl; pop ds; adc [edx-0x18], dl; push 0x8300006F; les edx, [eax]; ret;
0x10132acf: pop edi; pop esi; pop ebp; mov ecx, [eax]; mov [ecx+0x18], ebx; pop ebx; ret;
0x100294d6: add [eax-0x6F6F6F70], dl; nop; nop; nop; nop; mov eax, [ecx+0x00003500]; ret;
0x101414d9: add [edi+0x3B], bl; rcr [esi+0x5D], cl; pop ebx; sete al; add esp, 0x08; ret;
0x1003f4ab: or [ebp+0x5FB575ED], al; pop esi; pop ebp; mov eax, 0x00000001; pop ebx; ret;
0x100121ab: and bh, bh; and al, 0x85; aam 0x21; add [eax], edx; mov eax, 0x00989680; ret;
0x1005dd54: add al, ch; inc esi; xlatb; add al, [eax]; mov eax, 0x00000001; pop esi; ret;
0x10098a86: add [eax-0x6F6F6F70], dl; nop; nop; nop; nop; lea eax, [ecx+0x00000420]; ret;
0x101494a1: les esp, [eax]; pop edi; pop esi; pop ebp; pop ebx; add esp, 0x00000128; ret;
0x1011c4a6: add esp, 0x04; mov [esi+0x2C], 0x00000000; mov eax, 0x00000001; pop esi; ret;
0x10028616: add [eax-0x6F6F6F70], dl; nop; nop; nop; nop; mov eax, [ecx+0x000019A0]; ret;
0x100be373: cwde; sbb eax, 0xE8F18B10; sal [edx+0x03], cl; add [ebp+0x5E0275C0], al; ret;
0x100cfe69: pop edx; add [eax], eax; add [eax-0x2C], ch; add [edi], ebx; adc al, ch; ret;
0x10094095: or [eax+esi+0x00], 0x0004C200; nop; nop; nop; mov eax, [ecx+0x00003050]; ret;
0x10099969: add al, [eax]; add dl, al; add al, 0x00; nop; lea eax, [ecx+0x00000248]; ret;
0x10148d8e: and [ebp+0x5F9074C0], al; pop esi; pop ebp; pop ebx; add esp, 0x00000128; ret;
0x101341d2: adc [ecx+0x5FC78B10], cl; pop esi; pop ebp; pop ebx; add esp, 0x00000244; ret;
0x1014b212: add [ebp+0x33], bl; rcr [ebx-0x007F], 0xC4; sub [ecx], al; add [eax], al; ret;
0x1011a3f7: pop esi; pop ebp; pop ebx; mov [fs:0x00000000], ecx; add esp, 0x0000011C; ret;
0x10051da2: pop esi; pop ebp; pop ebx; mov [fs:0x00000000], ecx; add esp, 0x00000204; ret;
0x1010f2fc: pop esi; pop ebp; pop ebx; mov [fs:0x00000000], ecx; add esp, 0x00001158; ret;
0x1006b36e: pop esi; pop ebp; pop ebx; mov [fs:0x00000000], ecx; add esp, 0x00000EA0; ret;
0x1008c0ca: mov [esi], 0x101695C8; mov [esi+0x04], 0x00000001; mov eax, esi; pop esi; ret;
0x10018b8c: and al, 0x84; add al, [eax]; add [edx], dl; add [eax], al; add [ebx], bh; ret;
0x10146b47: and [ebp+0x5FAA74C0], al; pop esi; pop ebp; pop ebx; add esp, 0x00000128; ret;
0x10115717: xchg [esi], dl; adc [esi+0x64], bl; mov [0x00000000], ecx; add esp, 0x10; ret;
0x10018955: and al, 0x84; add al, [eax]; add [ecx], dl; add [eax], al; add [ebx], bh; ret;
0x10133f6e: out dx, al; add [bx+si], al; add esp, 0x08; xor al, al; pop edi; pop esi; ret;
0x1004b9d3: sahf; movsb; add [eax], eax; add [ebx], dl; fisttp word [ecx-0x74EBDBB4]; ret;
0x1001bce3: cmp [eax+0x5E5F1016], al; pop ebp; mov eax, 0x00000001; pop ebx; pop ecx; ret;
0x100769a5: xor [edx+edx+0x00], 0x0004C200; nop; nop; nop; mov eax, [ecx+0x00001254]; ret;
0x1008a580: inc esi; xor [edx], cl; add [eax], al; add [eax+0x00000001], bh; pop esi; ret;
0x1002ea1c: nop; nop; nop; nop; mov eax, [ecx+0x00001120]; mov edx, [ecx+0x00001124]; ret;
0x10159998: sbb al, 0x5F; pop esi; mov [eax+ecx*4+0x00000B54], ebp; pop ebp; pop ebx; ret;
0x10137e91: mov eax, [esi+0x1C]; pop edi; mov [eax+0x04], eax; mov eax, esi; pop esi; ret;
0x1014971e: add [eax], al; add [edi+0x5E], bl; pop ebp; pop ebx; add esp, 0x00000128; ret;
0x10134afb: inc [eax]; add [eax], al; pop edi; mov [eax], edx; xor eax, eax; pop esi; ret;
0x10040f5c: nop; nop; nop; nop; mov eax, [ecx+0x000002E8]; mov edx, [ecx+0x000002EC]; ret;
0x101605d3: mov dh, dl; dec [ebx-0x17AF0FBB]; push edi; imul edi, edi, 0xFF; pop ecx; ret;
0x1014a1d9: and [ebp+0x5F8874C0], al; pop esi; pop ebp; pop ebx; add esp, 0x00000128; ret;
0x10072cec: nop; nop; nop; nop; mov eax, [ecx+0x00001508]; mov edx, [ecx+0x0000150C]; ret;
0x1003a036: inc esi; sbb [eax], al; add [eax], al; add [eax+0x00000001], bh; pop esi; ret;
0x10018b39: and al, 0x84; add al, [eax]; add [eax], dl; add [eax], al; add [ebx], bh; ret;
0x100147c7: clc; sbb [ebx+eax+0x33], dh; rol bl, 0xB8; add [eax], eax; add [eax], al; ret;
0x1006a2dc: nop; nop; nop; nop; mov eax, [ecx+0x00000538]; mov edx, [ecx+0x0000053C]; ret;
0x10125ce6: adc [esi-0x01], dl; adc eax, 0x10168168; add esp, 0x04; pop esi; pop ebx; ret;
0x1005df2f: mov [0x00000000], ecx; pop edi; pop esi; pop ebp; pop ebx; add esp, 0x10; ret;
0x10136c55: mov eax, [esi+0x08]; pop edi; mov [eax+0x04], eax; mov eax, esi; pop esi; ret;
0x10018a9f: and al, 0x84; add al, [eax]; add [esi], cl; add [eax], al; add [ebx], bh; ret;
0x10129af0: shr ecx, 0x04; or eax, ecx; mov dl, ah; or edx, eax; inc edx; mov ax, dx; ret;
0x100e246c: nop; nop; nop; nop; mov eax, [ecx+0x000012B8]; mov edx, [ecx+0x000012BC]; ret;
0x10126704: adc [esi], 0x10C48310; pop edi; pop esi; pop ebp; pop ebx; add esp, 0x50; ret;
0x100b19e5: mov ecx, [esp+0x00001004]; mov [fs:0x00000000], ecx; add esp, 0x00001010; ret;
0x100cce77: pop edi; pop esi; pop ebx; mov [fs:0x00000000], ecx; add esp, 0x00000140; ret;
0x100e4fb6: add [eax], al; add [edi+0x5E], bl; pop ebp; pop ebx; add esp, 0x0000010C; ret;
0x1003074c: nop; nop; nop; nop; mov eax, [ecx+0x00001270]; mov edx, [ecx+0x00001274]; ret;
0x100284c3: add [eax], al; add [ebx], dh; leave; cmp eax, eax; sete cl; mov eax, ecx; ret;
0x1009a2f5: inc esi; and [edx], cl; add [eax], al; add [eax+0x00000001], bh; pop esi; ret;
0x1006d1e0: pop esi; pop ebp; pop ebx; mov [fs:0x00000000], ecx; add esp, 0x000001A4; ret;
0x10159217: cwde; push ss; add [eax], al; mov word [edx+0x0000048C], 0x0001; pop esi; ret;
0x100ee117: and al, 0xCC; adc al, [eax]; add [ebx], al; add [eax], al; add [ebx], bh; ret;
0x100277d4: add al, 0x00; add [edi-0x48], bl; add [eax], eax; add [eax], al; pop esi; ret;
0x10153af3: pop esi; and [ecx+0x145E881E], cl; mov [esi+0x04], ebx; pop esi; pop ebx; ret;
0x10129a48: adc [edi+0x5E], bl; pop ebp; mov eax, 0x00000001; pop ebx; add esp, 0x08; ret;
0x1006eb2a: add [eax], al; add [edi+0x5E], bl; mov eax, 0x00000001; pop ebx; pop ecx; ret;
0x100909bc: push eax; or [eax+0x00000001], bh; pop edi; mov [esi+0x4C], eax; pop esi; ret;
0x10030715: sub [edx+edx+0x00], 0x0004C200; nop; nop; nop; mov eax, [ecx+0x0000126C]; ret;
0x10099919: add [eax], eax; add dl, al; add al, 0x00; nop; lea eax, [ecx+0x00000142]; ret;
0x1009a218: adc bl, ch; mov ch, 0x5F; pop esi; mov eax, 0x00000001; pop ebx; pop ecx; ret;
0x10094548: push cs; mov [edi+0x00002408], al; pop edi; mov eax, 0x00000001; pop esi; ret;
0x1012b1a8: or [edx-0x18], dl; and [eax], ebx; add [eax], al; add esp, 0x04; pop esi; ret;
0x10072c8c: nop; nop; nop; nop; mov eax, [ecx+0x000014E8]; mov edx, [ecx+0x000014EC]; ret;
0x1014b1b0: and [ebp+0x5FAB74C0], al; pop esi; pop ebp; pop ebx; add esp, 0x00000128; ret;
0x1015804a: sbb [ebp+0x5F0A74C0], al; pop esi; pop ebp; mov eax, 0x00000001; pop ebx; ret;
0x10061f03: add [edi+0x5E], bl; mov [ebx+0x24], eax; pop ebp; pop ebx; add esp, 0x10; ret;
0x10154707: dec [ebx-0x3B7CEFBB]; adc [edi+0x5E], bl; pop ebx; mov esp, ebp; pop ebp; ret;
0x10102464: mov [eax+0x10], cl; mov [eax+0x00001010], cl; mov [eax+0x04], 0x00000001; ret;
0x1014a9eb: and [ebp+0x5F9174C0], al; pop esi; pop ebp; pop ebx; add esp, 0x00000128; ret;
0x1015166b: sub al, 0x0F; or [ebp+0x5FFFFFFE], 0x5E; pop ebp; pop ebx; add esp, 0x18; ret;
0x100189ad: and al, 0x84; add al, [eax]; add [ebx], cl; add [eax], al; add [ebx], bh; ret;
0x10010446: adc al, 0x00; add esp, 0x1C; mov eax, 0x00000001; pop esi; add esp, 0x30; ret;
0x101251c9: mov [eax+0x38], ecx; mov [eax+0x3C], edx; pop ebx; mov esp, ebp; pop ebp; ret;
0x100e337a: pop esi; pop ebp; pop ebx; mov [fs:0x00000000], ecx; add esp, 0x00000194; ret;
0x1011ffbc: nop; nop; nop; nop; mov eax, [ecx+0x00000838]; mov edx, [ecx+0x0000083C]; ret;
0x1005e38e: adc bl, ch; sbb [edi+0x5E], 0xB8; add [eax], eax; add [eax], al; pop ebx; ret;
0x100ca334: or [eax], al; pop edi; mov eax, 0x00000001; pop esi; add esp, 0x00000104; ret;
0x10130f17: add al, 0x89; push cs; mov ecx, [edx+0x08]; pop esi; mov [ecx+0x04], eax; ret;
0x1013354d: add bl, al; pop edi; pop esi; mov al, 0x03; pop ebx; add esp, 0x00000084; ret;
0x1014c670: rol [ebp-0x3F6AF00A], 0x40; pop esi; mov [ecx], eax; mov eax, 0x00000001; ret;
0x100608fc: nop; nop; nop; nop; mov eax, [ecx+0x00000090]; mov edx, [ecx+0x00000094]; ret;
0x1013230b: push ss; adc [esi-0x01], dl; adc eax, 0x10168168; add esp, 0x10; pop esi; ret;
0x10133c4a: add [ebx-0x3FCDF73C], al; pop edi; pop ebp; pop ebx; add esp, 0x00000080; ret;
0x100e4952: dec eax; adc [edi], cl; test [edi-0x75000000], cl; inc eax; or [ebx], bh; ret;
0x1014aebd: and [ebp+0x5F9274C0], al; pop esi; pop ebp; pop ebx; add esp, 0x00000128; ret;
0x1007695c: nop; nop; nop; nop; mov eax, [ecx+0x00001268]; mov edx, [ecx+0x0000126C]; ret;
0x1014c7c1: mov edx, [esp+0x14]; mov eax, 0x00000001; pop esi; mov [edx], 0x00000001; ret;
0x1002937c: nop; nop; nop; nop; mov eax, [ecx+0x00003528]; mov edx, [ecx+0x0000352C]; ret;
0x100e231b: fmul [ebp+0x00]; add [esi-0x18], dl; pop ss; dec esi; pop es; add dh, dh; ret;
0x1011e5f9: pop esi; pop ebp; pop ebx; mov [fs:0x00000000], ecx; add esp, 0x000038C8; ret;
0x101353c1: inc esp; and al, 0x04; mov [eax+0x04], 0x00000000; mov [eax], 0x00000000; ret;
0x10125e86: and al, 0x11; add al, ch; push edx; rol [eax], 0x00000000; add esp, 0x30; ret;
0x100b0b6d: sub edi, [ebx]; dec edi; or al, 0x75; adc al, 0x8B; inc ecx; or al, 0x3B; ret;
0x100106be: and al, 0x10; pop edi; mov eax, 0x00000001; pop esi; mov [edx+ecx], 0x00; ret;
0x1004c59c: nop; nop; nop; nop; mov eax, [ecx+0x000001A0]; mov edx, [ecx+0x000001A4]; ret;
0x100fd6df: pop ds; adc bh, bh; push eax; or al, 0xB8; add [eax], eax; add [eax], al; ret;
0x1012598f: add al, [eax]; add [ebx+0x5E5F10C4], al; pop ebp; pop ebx; add esp, 0x18; ret;
0x100bb1e8: add eax, 0x0003C668; add [eax+0x00], ch; fstp [esi]; adc al, ch; inc edx; ret;
0x1012b24d: mov [esi+0x08], 0x1012B2A0; mov [esi+0x0C], 0x1012BA90; pop esi; pop ebx; ret;
0x10106844: inc esi; sub [edx], cl; add [eax], al; add [eax+0x00000001], bh; pop esi; ret;
0x10087cfd: adc [ebx-0x3E14FB3C], al; pop edi; pop esi; mov eax, 0x00000001; pop ebx; ret;
0x1013a1c3: or [edx-0x01], dl; rcl [edi-0x01], cl; rol [ebx+0x5B5E0CC4], cl; pop edi; ret;
0x10074f1d: inc edx; add eax, 0x848B0000; and al, 0xDC; add [eax], al; add [ebx], bh; ret;
0x10072df6: add [eax-0x6F6F6F70], dl; nop; nop; nop; nop; fld qword [ecx+0x00001518]; ret;
0x10072c45: add [eax], 0xC2000015; add al, 0x00; nop; nop; nop; inc [ecx+0x00001500]; ret;
0x1004586c: nop; nop; nop; nop; mov eax, [ecx+0x00001040]; mov edx, [ecx+0x00001044]; ret;
0x1003753a: test [eax], eax; add eax, [eax]; add [ebx+0x00014487], cl; add [ebx], bh; ret;
0x101415e3: add [edi+0x5E], bl; pop ebp; mov eax, 0x00000001; pop ebx; add esp, 0x08; ret;
0x100285ec: nop; nop; nop; nop; mov eax, [ecx+0x00001990]; mov edx, [ecx+0x00001994]; ret;
0x100f4293: mov ecx, 0x8B0003C2; inc esi; cmp al, 0x6A; add [eax-0x18], edx; pop esi; ret;
0x10124b86: push ss; adc [ebx+0x5E5F10C4], al; pop ebp; pop ebx; add esp, 0x00000090; ret;
0x1015346c: adc ebx, eax; mov eax, [esp+0x10]; mov [eax], edx; mov eax, esi; pop esi; ret;
0x100ef1b1: adc [ebx-0x39E7DBBC], cl; test [esp+ebx*8+0x00], ah; add eax, 0x3B110000; ret;
0x1013699c: xor eax, eax; mov [esi+0x04], eax; mov eax, [esp+0x04]; pop esi; pop ecx; ret;
0x10089213: add al, 0x89; adc [eax-0x3E000000], 0x90900004; nop; lea eax, [ecx+0x50]; ret;
0x101538b7: xchg eax, ebp; add [eax], al; add [ebx+0x5E5F0CC4], al; pop ebp; pop ebx; ret;
0x10026496: add [eax-0x6F6F6F70], dl; nop; nop; nop; nop; fld qword [ecx+0x00000248]; ret;
0x101599b6: lodsb; mov al, 0x54; or eax, [eax]; add [edi+0x5E], bl; pop ebp; pop ebx; ret;
0x10041d4c: nop; nop; nop; nop; mov eax, [ecx+0x00001988]; mov edx, [ecx+0x0000198C]; ret;
0x100bd3db: sub esp, [ecx+ecx+0x3302EB00]; ror [ebx+0x212C24BC], 0x00; add [ebx], bh; ret;
0x10133796: out 0x3C, al; add [eax], al; add esp, 0x08; xor al, al; pop edi; pop esi; ret;
0x10134219: les ecx, [esi+eax*8]; inc esp; inc [eax]; mov eax, esi; pop edi; pop esi; ret;
0x1012f9af: add [eax], al; add [edi+0x5E], bl; pop ebp; pop ebx; add esp, 0x00000084; ret;
0x10151d61: lea edx, [eax+eax*2]; mov eax, [esi+0x38]; pop esi; mov eax, [eax+edx*8]; ret;
0x100b84ec: nop; nop; nop; nop; mov eax, [ecx+0x000000A8]; mov edx, [ecx+0x000000AC]; ret;
0x1006088c: nop; nop; nop; nop; mov eax, [ecx+0x00000080]; mov edx, [ecx+0x00000084]; ret;
0x1011e86c: mov [edx], 0x10168740; mov [edx+0x04], 0x00000001; mov eax, edx; pop esi; ret;
0x10052851: inc esi; xor [eax], al; add [eax], al; add [eax+0x00000001], bh; pop esi; ret;
0x1006d06a: or [eax], eax; add [ebx+0x578B0C4E], cl; sbb [ebx], dh; fstp tword [ebx]; ret;
0x10051f5f: pop edi; pop esi; pop ebp; mov [fs:0x00000000], ecx; add esp, 0x00001138; ret;
0x1014c68e: mov edx, [esp+0x14]; mov eax, 0x00000001; pop esi; mov [edx], 0x00000003; ret;
0x100293a6: add [eax-0x6F6F6F70], dl; nop; nop; nop; nop; fld qword [ecx+0x00003530]; ret;
0x10122182: pop edi; pop esi; pop ebx; mov [fs:0x00000000], ecx; add esp, 0x000019C0; ret;
0x10145ec0: and [ebp+0x5FC074C0], al; pop esi; pop ebp; pop ebx; add esp, 0x00000128; ret;
0x10116c80: mov [esi+ecx+0x00], ebx; add [ecx+ecx*8+0x08B80C75], al; shl [eax], 0x10; ret;
0x10109773: pop esi; pop ebp; pop ebx; mov [fs:0x00000000], ecx; add esp, 0x000033C8; ret;
0x1012fc3b: pop ebp; mov [ecx+0x04], eax; xor eax, eax; pop ebx; add esp, 0x00000084; ret;
0x100b3b98: sbb [ebp+0x5F0B75C0], al; pop esi; pop ebp; pop ebx; add esp, 0x0000010C; ret;
0x1010e172: add [edi+0x33], bl; rcr [esi-0x007F], 0xC4; add [eax], ah; add [eax], al; ret;
0x10129814: mov word [eax+0x04], dx; mov [eax+0x08], 0x00000006; mov [eax+0x0C], ecx; ret;
0x1007113c: nop; nop; nop; nop; mov eax, [ecx+0x00000308]; mov edx, [ecx+0x0000030C]; ret;
0x10088ae6: add [eax], al; or al, [eax]; add [eax], al; mov eax, 0x00000001; pop esi; ret;
0x1012ef17: add al, 0x89; push es; mov edx, [edx+0x0C]; pop esi; mov [edx+0x04], ecx; ret;
0x101599a8: sbb al, 0x5F; pop esi; mov [eax+edx*4+0x00000B54], ebp; pop ebp; pop ebx; ret;
0x100768f5: sbb [edx+edx+0x00], 0x0004C200; nop; nop; nop; mov eax, [ecx+0x00001260]; ret;
0x1002645c: nop; nop; nop; nop; mov eax, [ecx+0x00000238]; mov edx, [ecx+0x0000023C]; ret;
0x1014a7d4: and [ebp+0x5FA474C0], al; pop esi; pop ebp; pop ebx; add esp, 0x00000128; ret;
0x1012ce4a: adc [eax-0x18], dl; das; push ecx; add [eax], al; add esp, 0x20; pop esi; ret;
0x100f8386: mov ecx, [esp+0x00002674]; mov [fs:0x00000000], ecx; add esp, 0x00002680; ret;
0x10084bbb: pop esi; pop ebp; pop ebx; mov [fs:0x00000000], ecx; add esp, 0x00000158; ret;
0x1002457c: nop; nop; nop; nop; mov eax, [ecx+0x00000318]; mov edx, [ecx+0x0000031C]; ret;
0x1004d499: popfd; mov al, [0xC4830010]; or bh, bh; rol [ebx-0x3FCCF33C], 1; pop ecx; ret;
0x10040f8c: nop; nop; nop; nop; mov eax, [ecx+0x00000300]; mov edx, [ecx+0x00000304]; ret;
0x10120e6f: pop esi; pop ebp; pop ebx; mov [fs:0x00000000], ecx; add esp, 0x000003DC; ret;
0x1005f9e1: sar [ebx], 0xCB; pop edi; pop esi; pop ebx; sete al; add esp, 0x00000108; ret;
0x1012ef83: add al, 0x89; push es; mov ecx, [ecx+0x14]; pop esi; mov [ecx+0x04], edx; ret;
0x1002642c: nop; nop; nop; nop; mov eax, [ecx+0x00000230]; mov edx, [ecx+0x00000234]; ret;
0x101511a0: push ss; adc eax, 0x2C46C710; rcl [ecx], 1; adc eax, 0x5FC68B10; pop esi; ret;
0x1004c53c: nop; nop; nop; nop; mov eax, [ecx+0x00000198]; mov edx, [ecx+0x0000019C]; ret;
0x101332f6: add bl, al; pop edi; pop esi; mov al, 0x03; pop ebx; add esp, 0x00000080; ret;
0x101372d7: adc [eax-0x01], dl; adc eax, 0x10168174; add esp, 0x10; pop edi; pop esi; ret;
0x10010788: add esp, 0x0C; mov [fs:0x00000000], ecx; pop edi; pop esi; add esp, 0x20; ret;
0x101534be: mov edx, [esp+0x0C]; mov eax, esi; mov word [edx+esi*2], 0x0000; pop esi; ret;
0x100bc085: cmp [edx+eax+0x00], 0x0004C200; nop; nop; nop; mov eax, [ecx+0x00000280]; ret;
0x1001c5e7: add [ecx-0x7C], eax; sal [ebp-0x10], 0xB8; add [eax], eax; add [eax], al; ret;
0x100babc0: pop esp; add [eax], al; add [edi+0x5E], bl; pop ebp; add esp, 0x00000208; ret;
0x101533b6: rcr [esi-0x3D], 0x8D; add al, 0x49; pop esi; mov eax, [0x101704F4+eax*4]; ret;
0x1014ab05: and [ebp+0x5F9B74C0], al; pop esi; pop ebp; pop ebx; add esp, 0x00000128; ret;
0x10044d16: mov ecx, [esp+0x0000262C]; mov [fs:0x00000000], ecx; add esp, 0x00002638; ret;
0x10121089: pop esi; pop ebp; pop ebx; mov [fs:0x00000000], ecx; add esp, 0x000002DC; ret;
0x1012cd19: pop ds; adc [ebx+0x7DE85108], cl; push edx; add [eax], al; add esp, 0x0C; ret;
0x100ef075: adc [ebx-0x39E7DBBC], cl; test [esp+ebx*8+0x00], ah; add eax, 0x3B0F0000; ret;
0x100b63c7: or al, [eax]; add esp, 0x20; mov eax, 0x00000001; pop esi; add esp, 0x08; ret;
0x10136cd9: or [ecx-0x01], dl; rcl [edi-0x01], cl; rol [ebx+0x5B5E0CC4], cl; pop edi; ret;
0x1011dcc5: pop esi; pop ebp; pop ebx; mov [fs:0x00000000], ecx; add esp, 0x000011BC; ret;
0x10072d4c: nop; nop; nop; nop; mov eax, [ecx+0x000014F8]; mov edx, [ecx+0x000014FC]; ret;
0x1014abc1: and [ebp+0x5F9F74C0], al; pop esi; pop ebp; pop ebx; add esp, 0x00000128; ret;
0x1005a3f1: sal [eax], 0xFFFFFFE8; cmp [ebx], ch; add [eax], al; mov eax, 0x00000001; ret;
0x1001c604: adc al, ch; xor [edi-0x3B7CFFED], ch; or bh, bh; rol [ebx-0x3FCCF33C], 1; ret;
0x1014c843: mov ecx, [esp+0x14]; mov eax, 0x00000001; pop esi; mov [ecx], 0x00000003; ret;
0x100bc11c: nop; nop; nop; nop; mov eax, [ecx+0x000012A8]; mov edx, [ecx+0x000012AC]; ret;
0x1008780f: push eax; add [eax], eax; add [ebx-0x74EBDBAC], cl; inc edx; or al, 0x3B; ret;
0x1014a3d8: and [ebp+0x5FAC74C0], al; pop esi; pop ebp; pop ebx; add esp, 0x00000128; ret;
0x1004440f: mov [0x00000000], ecx; pop edi; pop esi; pop ebp; pop ebx; add esp, 0x14; ret;
